supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat
acacia,1,1,45,50,5,cash,no,yes,no,no,no,no,no,24/06/2017,no,18:17:00,evening,small,saika,mid,saturday,weekend,no,24,6,2017,18,A,1,1,1
tuskys,1,1,85,100,15,cash,no,yes,no,no,no,no,no,29/05/2017,no,11:36:00,morning,chain,cbd,mid,Monday,weekday,no,29,5,2017,11,A,1,1,1
tuskys,22,5,3834,4000,166,cash,yes,yes,yes,yes,yes,no,no,18/06/2017,no,10:09:00,morning,chain,eastlands,mid,Sunday,weekend,no,18,6,2017,10,B,5,7,1
nakumatt,2,2,180,200,20,cash,no,yes,yes,no,no,no,no,05/07/2017,no,19:11:00,night,chain,cbd,mid,Wednesday,weekday,yes,5,7,2017,19,A,1,1,1
nakumatt,1,1,60,100,40,cash,no,yes,no,no,no,no,no,19/06/2017,no,14:25:00,afternoon,chain,cbd,mid,Monday,weekday,no,19,6,2017,14,A,1,1,1
nakumatt,1,1,135,1000,865,cash,no,yes,no,no,no,no,no,30/05/2017,yes,18:14:00,evening,chain,junction,mid,Tuesday,weekday,no,30,5,2017,18,A,1,1,1
nakumatt,2,2,95,95,0,cash,no,yes,yes,no,no,no,no,23/05/2017,no,18:25:00,evening,chain,cbd,mid,Tuesday,weekday,yes,23,5,2017,18,A,1,1,1
ukwala,4,2,293,500,207,cash,yes,no,no,yes,no,no,no,24/05/2017,no,20:00:00,night,chain,cbd,mid,Wednesday,weekday,no,24,5,2017,20,B,1,1,1
ukwala,1,1,58,100,42,cash,no,no,no,yes,no,no,no,24/05/2017,no,08:34:00,morning,chain,cbd,mid,Wednesday,weekday,no,24,5,2017,8,A,1,1,1
karrymart,1,1,90,200,110,cash,no,no,no,yes,no,no,no,23/05/2017,no,07:33:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,4,3,250,500,250,cash,yes,yes,yes,no,no,no,no,23/05/2017,no,05:23:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,5,B,1,1,1
karrymart,2,1,105,500,395,cash,no,yes,no,no,no,no,no,23/05/2017,no,06:57:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
